1.800000000000000000e+02,0.000000000000000000e+00,1.800000000000000000e+02,0.000000000000000000e+00,1.810000000000000000e+02,0.000000000000000000e+00
1.799999999985137435e+02,-2.955454397675254216e-06,1.799999950979797063e+02,-9.803110609476107032e-03,1.810000098084994420e+02,1.961508760660344089e-02
1.799999999941552176e+02,-5.718881722835140579e-06,1.799999803916178678e+02,-1.960679735391382059e-02,1.810000392342988107e+02,3.923075155006046366e-02
1.799999999872010790e+02,-8.098241424242716600e-06,1.799999558800844000e+02,-2.941163639514395023e-02,1.810000882782284748e+02,5.884756818507787257e-02
1.799999999781494466e+02,-9.901451574357438451e-06,1.799999215618851167e+02,-3.921820397747427522e-02,1.810001569417831320e+02,7.846611392116084605e-02
1.799999999676523146e+02,-1.093639153315224709e-05,1.799998774350636950e+02,-4.902707642237909974e-02,1.810002452269196738e+02,9.808696521908427668e-02
1.799999999565946496e+02,-1.101085727582542940e-05,1.799998234969654050e+02,-5.883883021754646170e-02,1.810003531362936258e+02,1.177106986500559282e-01
1.799999999460127924e+02,-9.932579775345873620e-06,1.799997597444812527e+02,-6.865404198023167259e-02,1.810004806730147777e+02,1.373378908713656921e-01
1.799999999371756587e+02,-7.509166090931789239e-06,1.799996861738049745e+02,-7.847328857468391372e-02,1.810006278408902176e+02,1.569691187043998626e-01
1.799999999315057266e+02,-3.548130232598109806e-06,1.799996027806698464e+02,-8.829714705061746105e-02,1.810007946441874367e+02,1.766049590937573688e-01
1.799999999306550649e+02,2.143176029572302310e-06,1.799995095601211119e+02,-9.812619478112301341e-02,1.810009810878616747e+02,1.962459891988687366e-01
1.799999999364338805e+02,9.757524755599054182e-06,1.799994065067297413e+02,-1.079610093860959852e-01,1.810011871773423309e+02,2.158927863431161498e-01
1.799999999508768838e+02,1.948788553942762243e-05,1.799992936143945030e+02,-1.178021688791351940e-01,1.810014129187306082e+02,2.355459281114148373e-01
1.799999999761836875e+02,3.152738595113387723e-05,1.799991708765201963e+02,-1.276502515886819566e-01,1.810016583186211676e+02,2.552059922978118789e-01
1.800000000147703645e+02,4.606938136007507920e-05,1.799990382858632927e+02,-1.375058362971733061e-01,1.810019233842564859e+02,2.748735569979118831e-01
1.800000000692326410e+02,6.330743170403460335e-05,1.799988958346430366e+02,-1.473695021947177553e-01,1.810022081234152722e+02,2.945492005780852574e-01
